,speed,gust,visibility,ceiling,cover,precipitation,obscuration,thunderstorms,snow,clouds,reason,fuel,holding_flights
195,1.54,6.69,300.0,30.0,6.0,False,True,False,False,False,Weather,886.3294633964937,2.0
196,1.03,0.0,700.0,30.0,6.0,False,True,False,False,False,,212.96680670921268,2.0
197,1.03,0.0,300.0,61.0,6.0,False,True,False,False,False,Weather,246.0715495316348,3.0
198,5.66,0.0,9999.0,183.0,6.0,False,False,False,False,False,,104.3756698580155,3.0
199,1.54,0.0,300.0,61.0,6.0,False,True,False,False,False,Weather,62.14273119997345,1.0
200,0.0,0.0,750.0,61.0,6.0,True,True,False,False,False,,,
201,7.72,0.0,9999.0,549.0,6.0,False,False,False,False,False,,336.2097461729925,1.0
202,8.23,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,245.1358391864905,1.0
203,5.14,0.0,9999.0,671.0,6.0,False,False,False,False,False,,442.94103180458114,4.0
204,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,41.96579689325509,1.0
205,1.03,0.0,1000.0,91.0,6.0,False,True,False,False,False,Weather,292.57431565991413,2.0
206,7.72,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,88.38126406451316,1.0
207,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,184.40945624796527,2.0
208,5.66,0.0,9999.0,640.0,6.0,False,False,False,False,False,,446.3930474515217,4.0
209,1.03,0.0,1500.0,122.0,8.0,False,True,False,False,False,,80.82975880145362,1.0
210,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
211,1.03,0.0,900.0,152.0,6.0,True,True,False,False,False,,200.1655255509658,1.0
212,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
213,4.12,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,208.69406001539917,1.0
214,6.17,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,4380.371584425479,6.0
215,1.54,0.0,1800.0,152.0,6.0,True,True,False,False,False,,908.6844572744262,10.0
216,7.2,0.0,9999.0,1067.0,6.0,False,False,False,False,False,,,
217,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,636.3467780410062,6.0
218,1.54,0.0,1500.0,91.0,8.0,False,True,False,False,False,,107.06584593203851,1.0
219,4.63,0.0,9000.0,122.0,6.0,True,False,False,False,False,,295.0709546291577,3.0
220,6.69,0.0,9999.0,884.0,6.0,False,False,False,False,False,,,
221,2.57,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,356.58023671724607,1.0
222,3.09,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,78.86018016115707,1.0
223,6.17,0.0,9999.0,152.0,6.0,True,False,False,False,False,,,
224,2.06,0.0,8000.0,3048.0,4.0,False,True,False,False,False,Weather,417.3827311575268,3.0
225,1.54,0.0,3500.0,1006.0,6.0,False,True,False,False,False,,593.0975149513818,1.0
226,3.09,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,237.58339877960876,2.0
227,2.06,0.0,9000.0,3048.0,4.0,False,True,False,False,False,Weather,2573.0143788705127,11.0
228,2.57,0.0,9000.0,3048.0,4.0,False,False,False,False,False,Weather,1755.600925829542,11.0
229,1.54,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,49.81387451586112,1.0
230,3.09,0.0,9000.0,152.0,6.0,False,False,False,False,False,Weather,617.8220726742708,7.0
231,2.06,0.0,300.0,61.0,10.0,False,True,False,False,False,,198.24132035065543,1.0
232,3.09,0.0,9000.0,152.0,6.0,False,False,False,False,False,Weather,231.6133207308186,2.0
233,4.63,0.0,9999.0,3048.0,6.0,False,False,False,False,False,,201.18500811485072,1.0
234,3.09,0.0,9000.0,152.0,6.0,False,False,False,False,False,Weather,162.7762127755033,1.0
235,0.51,0.0,2500.0,213.0,6.0,False,True,False,False,False,,107.35663036041966,1.0
236,0.51,0.0,3500.0,244.0,6.0,False,True,False,False,False,,102.41921388469495,1.0
237,4.63,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,78.7822873741157,1.0
238,0.51,0.0,5000.0,3048.0,0.0,False,True,False,False,False,,105.03635498056472,1.0
239,0.51,0.0,3500.0,244.0,6.0,False,True,False,False,False,,105.34579056304524,1.0
240,1.54,0.0,9999.0,914.0,6.0,False,False,False,False,False,,236.7110055871422,1.0
241,1.03,0.0,4000.0,1219.0,6.0,False,True,False,False,False,,107.40439064551602,1.0
242,5.14,0.0,9999.0,3048.0,2.0,True,False,False,False,False,,478.3180117066617,1.0
243,4.12,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
244,3.09,0.0,9999.0,3048.0,0.0,True,False,False,False,False,,156.86314637566758,1.0
245,3.6,0.0,9999.0,3048.0,0.0,True,False,False,False,False,,84.78242967589294,1.0
246,3.6,0.0,9999.0,1097.0,8.0,False,False,False,False,False,,2131.6438005993814,4.0
247,3.09,0.0,9999.0,1128.0,8.0,False,False,False,False,False,,565.0568707056984,1.0
248,3.6,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,2468.25772890343,9.0
249,2.57,0.0,9999.0,3048.0,4.0,True,False,False,False,False,,1600.0354715758965,9.0
250,2.06,0.0,9999.0,1341.0,6.0,False,False,False,False,True,,969.6560551995474,6.0
251,4.63,0.0,4400.0,152.0,8.0,True,False,False,False,False,,354.5116742317122,3.0
252,1.03,0.0,9000.0,884.0,6.0,True,False,False,False,False,,268.4408149961088,1.0
253,1.54,0.0,9999.0,1067.0,8.0,True,False,False,False,True,,1577.673044036801,4.0
254,5.66,0.0,8000.0,91.0,8.0,False,False,False,False,False,,60.44220872687893,2.0
